"priority_rank","hypothesis_id","setup_type","reason_for_priority","required_data","easiest_first_test","stricter_test","soft_score_version","expected_failure_mode","implementation_difficulty_1_to_5","notes"
"1","VH001","edge_exhaustion","Most direct transcript-supported setup and cleanest first signal to implement.","OHLCV; volumetric footprint volume at price; swing/session levels","Bar close at swing/session edge with edge volume <= 10; next bar trades 1 tick in reversal direction.","Test swing lookback grid 10/20/25/50 and edge volume grid 5/10/15/20 plus percentile alternative.","Score edge volume rarity, level quality, bar range, stop distance, next-bar response.","Too many signals if mid-range exhaustion is allowed; thresholds may be market-specific.","3","Build first. This proves whether the core exhaustion print has standalone value."
"2","VH014","quick_response_exit","Directly supported management rule and cheap to test on every signal.","OHLCV; entry state; time","For VH001 signals, exit/downgrade if MFE is below threshold after 5 bars or 10 minutes.","Test 3/5/10 bars and 5/10 minutes; compare scratch, hard exit, and score downgrade.","Grade time-to-response and early MFE instead of fixed timeout only.","May cut delayed winners; timeout varies by bar type and session.","2","Use as management overlay, not entry trigger."
"3","VH002","absorption_to_exhaustion","Flagship A+ idea: exhaustion after absorbed aggression at an edge.","OHLCV; footprint; delta; bid/ask volume; levels","Require VH001 plus prior absorption proxy within prior N bars: delta contradiction or effort/result failure.","Require absorption score, edge exhaustion, level score, and next-bar trigger; test A+ cutoffs 75/82/90.","Composite of absorption score, exhaustion score, level score, confirmation, stop quality.","Absorption proxy may be noisy without DOM; can overfit if too many conditions are required.","4","Best second test after VH001 baseline."
"4","VH003","pure_absorption","Strong evidence but requires approximation; useful independent of exhaustion.","OHLCV; delta; bid/ask volume; footprint; levels","At support/resistance, high delta effort with poor price progress and close rejection.","Add repeated defended price, POC/close-location, and retest confirmation.","Score effort/result, delta contradiction, level quality, repeated defense.","Calling ordinary high volume absorption; passive side is inferred historically.","4","Do not make binary. Use as score module."
"5","VH004","positive_delta_trap","High-priority bearish pattern: strong positive delta at highs can be bearish if no continuation.","OHLCV; delta; footprint; HOD/resistance levels","At HOD/swing high/resistance, positive delta percentile >= 80 and no upside continuation; short on rejection.","Require close below mid/bar low break, absorption score, or failed acceptance below level.","Score positive delta percentile, poor continuation, level quality, rejection strength.","Will fail badly in real upside continuation or trend-day breakout.","3","Backtest separately for HOD/resistance only before generalizing."
"6","VH005","negative_delta_absorption","Bullish mirror to VH004; strong selling at lows only matters when absorbed.","OHLCV; delta; footprint; LOD/support levels","At LOD/swing low/support, extreme negative delta with green/off-low close or next-bar lift.","Require absorption score, reclaimed low, and no fresh sell initiative after signal.","Score negative delta percentile, close location, level quality, upward response.","Can catch falling knives in liquidation/trend days.","3","Useful pair with VH004 for symmetric tests."
"7","VH018","a_plus_composite","Matches discretionary confluence better than single-feature triggers.","All module features used by enabled tests","Combine VH001, VH002/VH003, VH004/VH005, confirmation, risk, and timing into score >= 82.","Add hard gates: meaningful level, footprint data, stop max, no trend acceptance against signal.","Separate bullish and bearish location/failure/confirmation/risk/timing scores.","Can hide weak sub-rules behind weighted score; needs component logging.","3","Implement after first modules exist; do not start here."
"8","VH007","failed_acceptance","Highly practical, simple to backtest, less footprint-dependent.","OHLCV; levels; delta optional; footprint optional","Break prior high/low/session/value level and close back inside within 1-3 bars.","Require delta/volume trap, rejection close, and next-bar hold away from level.","Score level type, break distance, reclaim speed, follow-through after reclaim.","Confuses noise wicks with true failed break unless level quality is strong.","2","Good early module because it works even when footprint data is incomplete."
"9","VH006","delta_weakness_retest","Good confluence feature; not safe as standalone.","OHLCV; bar delta; cumulative delta; levels","Retest/new extreme with weaker delta than prior same-direction push; require rejection.","Add exhaustion/absorption confluence and reject signals in chop/mid-range.","Score divergence magnitude, level quality, confirmation, confluence.","Many false positives in chop or trend pauses.","3","Cap standalone divergence below A+."
"10","VH013","retest_rejection","Useful operational version of level-based reversal.","OHLCV; delta; footprint optional; swing/session/user levels","Second test within tick tolerance with weaker delta or exhaustion; enter on rejection.","Require fewer than 3 tests, absorption/exhaustion, and next-bar trigger.","Score clean first level, retest quality, weaker flow, rejection close.","Level selection/tolerance can overfit; many tests weaken level.","3","Best as enhancer for VH001/VH003/VH007."
"11","VH015","signal_bar_risk_quality","Low implementation difficulty and protects R quality.","OHLCV; entry/stop references","Penalize signals with bar range above 75th percentile or stop above max ticks.","Reject signals with poor reward room to first reference target.","Score stop distance, bar range percentile, reward room.","May remove valid high-volatility reversal bars.","1","Use as cap/risk component from the beginning."
"12","VH016","context_regime_filter","Important false-positive control but easy to overfit.","OHLCV; VWAP; session levels; initial balance; value area optional","Downscore countertrend fades during intact trend acceptance; favor range-edge reversals.","Add VWAP slope, IB extension, value acceptance, range location, session phase.","Score context as cap/weight rather than hard block.","Overfiltering can remove best reversal trades.","3","Implement after baseline signals so you can quantify filter impact."
"13","VH010","failed_continuation","Core concept but trigger definition is subjective.","OHLCV; delta; footprint; imbalances optional; levels","Strong initiative bar at edge fails to make continuation within 1-3 bars; trade reclaim.","Require trigger-zone reclaim, level quality, and opposite response.","Score initiative strength, expected follow-through miss, reclaim, context.","Hard to define what 'should continue' means; can become curve-fit.","4","Use as module inside composite, not first standalone setup."
"14","VH011","imbalance_failure","Potentially useful but depends on reliable imbalance engine.","Footprint bid/ask volume; imbalance ratio; OHLC; levels","Buy/sell stack near edge has no follow-through and zone is reclaimed/lost.","Test ratio grid and stack count grid; require level and next-bar failure.","Score stack strength, no continuation, zone reclaim, level quality.","Fresh trend imbalances are continuation, not reversal.","3","Do after footprint infrastructure is stable."
"15","VH012","inverse_imbalance_absorption","Interesting absorption subfeature but platform-sensitive.","Footprint bid/ask; OHLC; levels","Imbalance direction conflicts with candle result at level; use as absorption score boost.","Require effort/result failure plus next-bar response.","Score inverse imbalance, close location, level, response.","Noisy without consistent imbalance calculation.","4","Confluence only. Do not create standalone signal first."
"16","VH009","trapped_aggression","Good discretionary idea, weaker automated label.","OHLCV; delta; footprint; levels","Late aggression at edge with no continuation; price reverses through likely trap zone.","Require absorption/reclaim and avoid labeling protective stop volume as trap.","Score late aggression, poor location, no continuation, zone reversal.","Trap zone is approximate; can confuse true initiative with trapped flow.","4","Keep soft. Label as 'aggression failure' in code."
"17","VH008","liquidity_sweep_failure","Tradable but under-sampled and noisy.","OHLCV; footprint; volume; delta; swing/session levels","Sweep prior high/low with volume spike and reclaim within 1-3 bars.","Require volume percentile, level quality, reclaim, and no continuation.","Score sweep size, volume spike, reclaim speed, stop compactness.","True breakout/liquidation can continue hard.","3","Secondary module after failed acceptance works."
"18","VH017","session_timing_filter","Easy timing guard, but exact minutes are crude.","Session clock; OHLCV","Downscore/block signals within 5 minutes before cash open.","Test 3/5/10 minute windows and allow post-open re-confirmation.","Score timing risk instead of hard block in optimization.","May block valid open-transition trades.","1","Add as metadata early; activate after testing."
"19","VH019","climactic_volume_failure","Evidence supports context, not standalone reversal.","OHLCV; footprint; delta; levels","Large volume at edge plus no continuation and reclaim/rejection.","Require exhaustion/absorption/failed acceptance confluence to exceed B.","Score volume percentile, no continuation, edge, post-spike reversal.","Large volume can be trend fuel, especially news.","3","Do not build as primary module in MVP."
"20","VH020","second_chance_reentry","Potentially useful but risky and not first-pass research.","OHLCV; footprint; delta; prior signal state","After one stop-out, permit one re-entry only if level is reclaimed/rejected again.","Require thesis score still valid and fresh failure confirmation.","Score re-entry validity, stop-out type, reclaimed edge, unchanged order-flow thesis.","Can encode revenge trading and overfit rare examples.","4","Defer until base entries and stops are validated."
